UA,BIDANG,Output2013
UUM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",5558
UUM,"SAINS, MATEMATIK DAN KOMPUTER",529
UUM,SASTERA DAN KEMANUSIAAN,51
UUM,KESELURUHAN,7400
UMS,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",478
UMS,KESIHATAN DAN KEBAJIKAN,181
UMS,PENDIDIKAN,164
UMS,PERKHIDMATAN,156
UMS,PERTANIAN DAN VETERINAR,123
UMS,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1836
UMS,"SAINS, MATEMATIK DAN KOMPUTER",539
UMS,SASTERA DAN KEMANUSIAAN,286
UMS,KESELURUHAN,3763
UPSI,KESIHATAN DAN KEBAJIKAN,397
UPSI,PENDIDIKAN,5456
UPSI,PERKHIDMATAN,0
UPSI,PERTANIAN DAN VETERINAR,0
UPSI,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",14
UPSI,"SAINS, MATEMATIK DAN KOMPUTER",0
UPSI,SASTERA DAN KEMANUSIAAN,70
UPSI,KESELURUHAN,5937
UNIMAS,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",275
UNIMAS,KESIHATAN DAN KEBAJIKAN,173
UNIMAS,PENDIDIKAN,0
UNIMAS,PERKHIDMATAN,83
UNIMAS,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1063
UNIMAS,"SAINS, MATEMATIK DAN KOMPUTER",471
UNIMAS,SASTERA DAN KEMANUSIAAN,278
UNIMAS,KESELURUHAN,2343
UKM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",646
UKM,KESIHATAN DAN KEBAJIKAN,1288
UKM,PENDIDIKAN,450
UKM,PERKHIDMATAN,133
UKM,PERTANIAN DAN VETERINAR,1
UKM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1639
UKM,"SAINS, MATEMATIK DAN KOMPUTER",1423
UKM,SASTERA DAN KEMANUSIAAN,981
UKM,KESELURUHAN,6561
UMK,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",66
UMK,KESIHATAN DAN KEBAJIKAN,22
UMK,PERKHIDMATAN,64
UMK,PERTANIAN DAN VETERINAR,74
UMK,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",78
UMK,"SAINS, MATEMATIK DAN KOMPUTER",84
UMK,SASTERA DAN KEMANUSIAAN,147
UMK,KESELURUHAN,535
UPNM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",330
UPNM,KESIHATAN DAN KEBAJIKAN,53
UPNM,PERKHIDMATAN,180
UPNM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",396
UPNM,"SAINS, MATEMATIK DAN KOMPUTER",134
UPNM,KESELURUHAN,1093
