State/Country,Year,Category of industry,Code version,Employed Person ('000)
Pulau Pinang,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,3.3
Perak,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,3.5
Perlis,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,0.5
Selangor,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,12.5
Terengganu,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,3.9
Sabah,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,6.2
Sarawak,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,5.1
W.P. Kuala Lumpur,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,4.1
W.P Labuan,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,0.1
W.P.Putrajaya,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,0.4
Malaysia,2016,Construction,MSIC 2008,"1,251.7"
Johor,2016,Construction,MSIC 2008,126.5
Kedah,2016,Construction,MSIC 2008,61.8
Kelantan,2016,Construction,MSIC 2008,84.1
Melaka,2016,Construction,MSIC 2008,27.6
Negeri Sembilan,2016,Construction,MSIC 2008,38.2
Pahang,2016,Construction,MSIC 2008,48.2
Pulau Pinang,2016,Construction,MSIC 2008,61.3
Perak,2016,Construction,MSIC 2008,82.0
Perlis,2016,Construction,MSIC 2008,9.6
Selangor,2016,Construction,MSIC 2008,315.1
Terengganu,2016,Construction,MSIC 2008,55.5
Sabah,2016,Construction,MSIC 2008,130.5
Sarawak,2016,Construction,MSIC 2008,132.2
W.P. Kuala Lumpur,2016,Construction,MSIC 2008,75.2
W.P Labuan,2016,Construction,MSIC 2008,3.1
W.P.Putrajaya,2016,Construction,MSIC 2008,0.9
Malaysia,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,"2,428.5"
Johor,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,272.9
Kedah,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,150.5
Kelantan,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,133.4
Melaka,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,65.4
Negeri Sembilan,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,75.2
Pahang,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,112.7
Pulau Pinang,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,127.6
Perak,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,187.1
Perlis,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,13.6
Selangor,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,514.4
Terengganu,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,70.3
Sabah,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,325.0
Sarawak,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,174.7
W.P. Kuala Lumpur,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,199.2
W.P Labuan,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,4.6
W.P.Putrajaya,2016,"Wholesale and retail trade, repair of motor vehicles and motorcycles",MSIC 2008,1.9
Malaysia,2016,Transportation and storage,MSIC 2008,630.4
Johor,2016,Transportation and storage,MSIC 2008,87.2
Kedah,2016,Transportation and storage,MSIC 2008,28.0
Kelantan,2016,Transportation and storage,MSIC 2008,17.1
Melaka,2016,Transportation and storage,MSIC 2008,9.7
Negeri Sembilan,2016,Transportation and storage,MSIC 2008,30.1
Pahang,2016,Transportation and storage,MSIC 2008,25.1
Pulau Pinang,2016,Transportation and storage,MSIC 2008,42.6
Perak,2016,Transportation and storage,MSIC 2008,32.8
Perlis,2016,Transportation and storage,MSIC 2008,3.0
Selangor,2016,Transportation and storage,MSIC 2008,191.2
Terengganu,2016,Transportation and storage,MSIC 2008,10.9
Sabah,2016,Transportation and storage,MSIC 2008,64.8
Sarawak,2016,Transportation and storage,MSIC 2008,46.1
W.P. Kuala Lumpur,2016,Transportation and storage,MSIC 2008,38.4
W.P Labuan,2016,Transportation and storage,MSIC 2008,2.5
W.P.Putrajaya,2016,Transportation and storage,MSIC 2008,0.9
Malaysia,2016,Accommodation and food service activities,MSIC 2008,"1,260.7"
Johor,2016,Accommodation and food service activities,MSIC 2008,128.8
Kedah,2016,Accommodation and food service activities,MSIC 2008,96.8
Kelantan,2016,Accommodation and food service activities,MSIC 2008,65.5
Melaka,2016,Accommodation and food service activities,MSIC 2008,44.4
Negeri Sembilan,2016,Accommodation and food service activities,MSIC 2008,48.5
Pahang,2016,Accommodation and food service activities,MSIC 2008,70.8
Pulau Pinang,2016,Accommodation and food service activities,MSIC 2008,79.2
Perak,2016,Accommodation and food service activities,MSIC 2008,104.1
Perlis,2016,Accommodation and food service activities,MSIC 2008,11.9
Selangor,2016,Accommodation and food service activities,MSIC 2008,250.8
Terengganu,2016,Accommodation and food service activities,MSIC 2008,51.4
Sabah,2016,Accommodation and food service activities,MSIC 2008,141.2
Sarawak,2016,Accommodation and food service activities,MSIC 2008,83.9
W.P. Kuala Lumpur,2016,Accommodation and food service activities,MSIC 2008,78.8
W.P Labuan,2016,Accommodation and food service activities,MSIC 2008,4.0
W.P.Putrajaya,2016,Accommodation and food service activities,MSIC 2008,0.6
Malaysia,2016,Information and communication,MSIC 2008,208.7
Johor,2016,Information and communication,MSIC 2008,6.2
Kedah,2016,Information and communication,MSIC 2008,3.1
Kelantan,2016,Information and communication,MSIC 2008,2.2
Melaka,2016,Information and communication,MSIC 2008,3.5
Negeri Sembilan,2016,Information and communication,MSIC 2008,2.8
Pahang,2016,Information and communication,MSIC 2008,2.6
Pulau Pinang,2016,Information and communication,MSIC 2008,7.8
Perak,2016,Information and communication,MSIC 2008,4.1
Perlis,2016,Information and communication,MSIC 2008,0.3
Selangor,2016,Information and communication,MSIC 2008,123.1
Terengganu,2016,Information and communication,MSIC 2008,1.5
Sabah,2016,Information and communication,MSIC 2008,6.7
Sarawak,2016,Information and communication,MSIC 2008,7.7
W.P. Kuala Lumpur,2016,Information and communication,MSIC 2008,36.1
W.P Labuan,2016,Information and communication,MSIC 2008,0.2
W.P.Putrajaya,2016,Information and communication,MSIC 2008,1.0
Malaysia,2016,Financial and insurance/takaful activities,MSIC 2008,346.9
Johor,2016,Financial and insurance/takaful activities,MSIC 2008,27.2
Kedah,2016,Financial and insurance/takaful activities,MSIC 2008,10.7
Kelantan,2016,Financial and insurance/takaful activities,MSIC 2008,7.9
Melaka,2016,Financial and insurance/takaful activities,MSIC 2008,7.9
Negeri Sembilan,2016,Financial and insurance/takaful activities,MSIC 2008,11.2
Pahang,2016,Financial and insurance/takaful activities,MSIC 2008,9.2
Pulau Pinang,2016,Financial and insurance/takaful activities,MSIC 2008,19.6
Perak,2016,Financial and insurance/takaful activities,MSIC 2008,14.7
Perlis,2016,Financial and insurance/takaful activities,MSIC 2008,1.2
Selangor,2016,Financial and insurance/takaful activities,MSIC 2008,146.3
Terengganu,2016,Financial and insurance/takaful activities,MSIC 2008,3.2
Sabah,2016,Financial and insurance/takaful activities,MSIC 2008,13.0
Sarawak,2016,Financial and insurance/takaful activities,MSIC 2008,13.5
W.P. Kuala Lumpur,2016,Financial and insurance/takaful activities,MSIC 2008,59.6
W.P Labuan,2016,Financial and insurance/takaful activities,MSIC 2008,1.1
W.P.Putrajaya,2016,Financial and insurance/takaful activities,MSIC 2008,0.6
Malaysia,2016,Real estate activities,MSIC 2008,82.4
Johor,2016,Real estate activities,MSIC 2008,8.9
Kedah,2016,Real estate activities,MSIC 2008,2.8
Kelantan,2016,Real estate activities,MSIC 2008,0.7
Melaka,2016,Real estate activities,MSIC 2008,0.9
Negeri Sembilan,2016,Real estate activities,MSIC 2008,3.6
Pahang,2016,Real estate activities,MSIC 2008,1.4
Pulau Pinang,2016,Real estate activities,MSIC 2008,7.0
Perak,2016,Real estate activities,MSIC 2008,1.1
Perlis,2016,Real estate activities,MSIC 2008,0.1
Selangor,2016,Real estate activities,MSIC 2008,30.8
Terengganu,2016,Real estate activities,MSIC 2008,0.3
Sabah,2016,Real estate activities,MSIC 2008,3.8
Sarawak,2016,Real estate activities,MSIC 2008,1.8
W.P. Kuala Lumpur,2016,Real estate activities,MSIC 2008,18.9
W.P Labuan,2016,Real estate activities,MSIC 2008,0.3
W.P.Putrajaya,2016,Real estate activities,MSIC 2008,0.1
Malaysia,2016,"Professional, scientific and technical activities",MSIC 2008,361.8
Johor,2016,"Professional, scientific and technical activities",MSIC 2008,31.0
Kedah,2016,"Professional, scientific and technical activities",MSIC 2008,7.4
Kelantan,2016,"Professional, scientific and technical activities",MSIC 2008,5.9
Melaka,2016,"Professional, scientific and technical activities",MSIC 2008,7.9
Negeri Sembilan,2016,"Professional, scientific and technical activities",MSIC 2008,7.2
Pahang,2016,"Professional, scientific and technical activities",MSIC 2008,6.6
Pulau Pinang,2016,"Professional, scientific and technical activities",MSIC 2008,19.6
Perak,2016,"Professional, scientific and technical activities",MSIC 2008,13.8
Perlis,2016,"Professional, scientific and technical activities",MSIC 2008,0.9
Selangor,2016,"Professional, scientific and technical activities",MSIC 2008,148.1
Terengganu,2016,"Professional, scientific and technical activities",MSIC 2008,6.5
Sabah,2016,"Professional, scientific and technical activities",MSIC 2008,17.3
Sarawak,2016,"Professional, scientific and technical activities",MSIC 2008,16.5
W.P. Kuala Lumpur,2016,"Professional, scientific and technical activities",MSIC 2008,71.3
W.P Labuan,2016,"Professional, scientific and technical activities",MSIC 2008,0.6
W.P.Putrajaya,2016,"Professional, scientific and technical activities",MSIC 2008,1.2
Malaysia,2016,Administrative and support service activities,MSIC 2008,657.0
Johor,2016,Administrative and support service activities,MSIC 2008,81.8
Kedah,2016,Administrative and support service activities,MSIC 2008,40.8
Kelantan,2016,Administrative and support service activities,MSIC 2008,23.8
Melaka,2016,Administrative and support service activities,MSIC 2008,21.7
Negeri Sembilan,2016,Administrative and support service activities,MSIC 2008,22.4
Pahang,2016,Administrative and support service activities,MSIC 2008,34.5
Pulau Pinang,2016,Administrative and support service activities,MSIC 2008,32.8
Perak,2016,Administrative and support service activities,MSIC 2008,40.5
Perlis,2016,Administrative and support service activities,MSIC 2008,6.1
Selangor,2016,Administrative and support service activities,MSIC 2008,175.8
Terengganu,2016,Administrative and support service activities,MSIC 2008,23.9
Sabah,2016,Administrative and support service activities,MSIC 2008,63.3
Sarawak,2016,Administrative and support service activities,MSIC 2008,48.5
W.P. Kuala Lumpur,2016,Administrative and support service activities,MSIC 2008,37.1
W.P Labuan,2016,Administrative and support service activities,MSIC 2008,3.6
W.P.Putrajaya,2016,Administrative and support service activities,MSIC 2008,0.5
Malaysia,2016,Public administration and defence; compulsory social security,MSIC 2008,748.2
Johor,2016,Public administration and defence; compulsory social security,MSIC 2008,62.1
Kedah,2016,Public administration and defence; compulsory social security,MSIC 2008,43.8
Kelantan,2016,Public administration and defence; compulsory social security,MSIC 2008,37.7
Melaka,2016,Public administration and defence; compulsory social security,MSIC 2008,24.3
Negeri Sembilan,2016,Public administration and defence; compulsory social security,MSIC 2008,36.3
Pahang,2016,Public administration and defence; compulsory social security,MSIC 2008,41.4
Pulau Pinang,2016,Public administration and defence; compulsory social security,MSIC 2008,29.1
Perak,2016,Public administration and defence; compulsory social security,MSIC 2008,61.9
Perlis,2016,Public administration and defence; compulsory social security,MSIC 2008,11.3
Selangor,2016,Public administration and defence; compulsory social security,MSIC 2008,133.6
Terengganu,2016,Public administration and defence; compulsory social security,MSIC 2008,30.5
Sabah,2016,Public administration and defence; compulsory social security,MSIC 2008,85.4
Sarawak,2016,Public administration and defence; compulsory social security,MSIC 2008,80.1
W.P. Kuala Lumpur,2016,Public administration and defence; compulsory social security,MSIC 2008,42.5
W.P Labuan,2016,Public administration and defence; compulsory social security,MSIC 2008,5.3
W.P.Putrajaya,2016,Public administration and defence; compulsory social security,MSIC 2008,22.7
Malaysia,2016,Education,MSIC 2008,928.7
Johor,2016,Education,MSIC 2008,90.4
Kedah,2016,Education,MSIC 2008,69.6
Kelantan,2016,Education,MSIC 2008,62.8
Melaka,2016,Education,MSIC 2008,31.2
Negeri Sembilan,2016,Education,MSIC 2008,32.5
Pahang,2016,Education,MSIC 2008,60.6
Pulau Pinang,2016,Education,MSIC 2008,47.2
Perak,2016,Education,MSIC 2008,80.8
Perlis,2016,Education,MSIC 2008,10.9
Selangor,2016,Education,MSIC 2008,189.9
Terengganu,2016,Education,MSIC 2008,38.2
Sabah,2016,Education,MSIC 2008,87.4
Sarawak,2016,Education,MSIC 2008,88.6
W.P. Kuala Lumpur,2016,Education,MSIC 2008,34.0
W.P Labuan,2016,Education,MSIC 2008,2.3
W.P.Putrajaya,2016,Education,MSIC 2008,2.6
Malaysia,2016,Human health and social work activities,MSIC 2008,570.3
Johor,2016,Human health and social work activities,MSIC 2008,57.0
Kedah,2016,Human health and social work activities,MSIC 2008,48.6
Kelantan,2016,Human health and social work activities,MSIC 2008,31.3
Melaka,2016,Human health and social work activities,MSIC 2008,22.4
Negeri Sembilan,2016,Human health and social work activities,MSIC 2008,23.8
Pahang,2016,Human health and social work activities,MSIC 2008,33.7
Pulau Pinang,2016,Human health and social work activities,MSIC 2008,33.6
Perak,2016,Human health and social work activities,MSIC 2008,38.1
Perlis,2016,Human health and social work activities,MSIC 2008,4.8
Selangor,2016,Human health and social work activities,MSIC 2008,137.0
Terengganu,2016,Human health and social work activities,MSIC 2008,20.7
Sabah,2016,Human health and social work activities,MSIC 2008,46.4
Sarawak,2016,Human health and social work activities,MSIC 2008,35.7
W.P. Kuala Lumpur,2016,Human health and social work activities,MSIC 2008,33.6
W.P Labuan,2016,Human health and social work activities,MSIC 2008,1.3
W.P.Putrajaya,2016,Human health and social work activities,MSIC 2008,2.4
Malaysia,2016,"Arts, entertainment and recreation",MSIC 2008,80.9
Johor,2016,"Arts, entertainment and recreation",MSIC 2008,8.4
Kedah,2016,"Arts, entertainment and recreation",MSIC 2008,4.7
Kelantan,2016,"Arts, entertainment and recreation",MSIC 2008,1.9
Melaka,2016,"Arts, entertainment and recreation",MSIC 2008,1.9
Negeri Sembilan,2016,"Arts, entertainment and recreation",MSIC 2008,3.2
Pahang,2016,"Arts, entertainment and recreation",MSIC 2008,3.5
Pulau Pinang,2016,"Arts, entertainment and recreation",MSIC 2008,5.5
Perak,2016,"Arts, entertainment and recreation",MSIC 2008,5.3
Perlis,2016,"Arts, entertainment and recreation",MSIC 2008,0.5
Selangor,2016,"Arts, entertainment and recreation",MSIC 2008,19.4
Terengganu,2016,"Arts, entertainment and recreation",MSIC 2008,1.6
Sabah,2016,"Arts, entertainment and recreation",MSIC 2008,9.9
Sarawak,2016,"Arts, entertainment and recreation",MSIC 2008,4.9
W.P. Kuala Lumpur,2016,"Arts, entertainment and recreation",MSIC 2008,9.4
W.P Labuan,2016,"Arts, entertainment and recreation",MSIC 2008,0.4
W.P.Putrajaya,2016,"Arts, entertainment and recreation",MSIC 2008,0.2
Malaysia,2016,Others service activities,MSIC 2008,230.8
Johor,2016,Others service activities,MSIC 2008,25.7
Kedah,2016,Others service activities,MSIC 2008,9.5
Kelantan,2016,Others service activities,MSIC 2008,7.3
Melaka,2016,Others service activities,MSIC 2008,5.2
Negeri Sembilan,2016,Others service activities,MSIC 2008,6.5
Pahang,2016,Others service activities,MSIC 2008,8.4
Pulau Pinang,2016,Others service activities,MSIC 2008,14.2
Perak,2016,Others service activities,MSIC 2008,18.6
Perlis,2016,Others service activities,MSIC 2008,1.1
Selangor,2016,Others service activities,MSIC 2008,65.4
Terengganu,2016,Others service activities,MSIC 2008,5.8
Sabah,2016,Others service activities,MSIC 2008,27.9
Sarawak,2016,Others service activities,MSIC 2008,15.3
W.P. Kuala Lumpur,2016,Others service activities,MSIC 2008,19.3
W.P Labuan,2016,Others service activities,MSIC 2008,0.5
W.P.Putrajaya,2016,Others service activities,MSIC 2008,0.2
Malaysia,2016,Activities of households as employers,MSIC 2008,124.7
Johor,2016,Activities of households as employers,MSIC 2008,10.8
Kedah,2016,Activities of households as employers,MSIC 2008,2.9
Kelantan,2016,Activities of households as employers,MSIC 2008,1.3
Melaka,2016,Activities of households as employers,MSIC 2008,3.5
Negeri Sembilan,2016,Activities of households as employers,MSIC 2008,4.3
Pahang,2016,Activities of households as employers,MSIC 2008,2.3
Pulau Pinang,2016,Activities of households as employers,MSIC 2008,8.4
Perak,2016,Activities of households as employers,MSIC 2008,8.9
Perlis,2016,Activities of households as employers,MSIC 2008,0.9
Selangor,2016,Activities of households as employers,MSIC 2008,35.6
Terengganu,2016,Activities of households as employers,MSIC 2008,1.5
Sabah,2016,Activities of households as employers,MSIC 2008,21.6
Sarawak,2016,Activities of households as employers,MSIC 2008,9.1
W.P. Kuala Lumpur,2016,Activities of households as employers,MSIC 2008,12.0
W.P Labuan,2016,Activities of households as employers,MSIC 2008,0.6
W.P.Putrajaya,2016,Activities of households as employers,MSIC 2008,1.1
Malaysia,2015,Total,MSIC 2008,"14,067.7"
Johor,2015,Total,MSIC 2008,"1,582.6"
Kedah,2015,Total,MSIC 2008,881.6
Kelantan,2015,Total,MSIC 2008,652.1
Melaka,2015,Total,MSIC 2008,398.3
Negeri Sembilan,2015,Total,MSIC 2008,468.7
Pahang,2015,Total,MSIC 2008,697.5
Pulau Pinang,2015,Total,MSIC 2008,834.2
Perak,2015,Total,MSIC 2008,981.8
Perlis,2015,Total,MSIC 2008,98.2
Selangor,2015,Total,MSIC 2008,"3,135.0"
Terengganu,2015,Total,MSIC 2008,420.5
Sabah,2015,Total,MSIC 2008,"1,771.1"
Sarawak,2015,Total,MSIC 2008,"1,214.8"
W.P. Kuala Lumpur,2015,Total,MSIC 2008,853.4
W.P Labuan,2015,Total,MSIC 2008,39.5
W.P.Putrajaya,2015,Total,MSIC 2008,38.5
Malaysia,2015,"Agriculture, forestry and fishing",MSIC 2008,"1,753.9"
Johor,2015,"Agriculture, forestry and fishing",MSIC 2008,141.5
Kedah,2015,"Agriculture, forestry and fishing",MSIC 2008,119.0
Kelantan,2015,"Agriculture, forestry and fishing",MSIC 2008,95.9
Melaka,2015,"Agriculture, forestry and fishing",MSIC 2008,16.0
Negeri Sembilan,2015,"Agriculture, forestry and fishing",MSIC 2008,49.5
Pahang,2015,"Agriculture, forestry and fishing",MSIC 2008,162.8
Pulau Pinang,2015,"Agriculture, forestry and fishing",MSIC 2008,12.1
Perak,2015,"Agriculture, forestry and fishing",MSIC 2008,121.5
Perlis,2015,"Agriculture, forestry and fishing",MSIC 2008,12.6
Selangor,2015,"Agriculture, forestry and fishing",MSIC 2008,48.5
Terengganu,2015,"Agriculture, forestry and fishing",MSIC 2008,42.1
Sabah,2015,"Agriculture, forestry and fishing",MSIC 2008,625.7
Sarawak,2015,"Agriculture, forestry and fishing",MSIC 2008,304.4
W.P. Kuala Lumpur,2015,"Agriculture, forestry and fishing",MSIC 2008,0.6
W.P Labuan,2015,"Agriculture, forestry and fishing",MSIC 2008,1.6
W.P.Putrajaya,2015,"Agriculture, forestry and fishing",MSIC 2008,
Malaysia,2015,Mining and quarrying,MSIC 2008,104.4
Johor,2015,Mining and quarrying,MSIC 2008,5.2
Kedah,2015,Mining and quarrying,MSIC 2008,2.6
Kelantan,2015,Mining and quarrying,MSIC 2008,2.5
Melaka,2015,Mining and quarrying,MSIC 2008,1.8
Negeri Sembilan,2015,Mining and quarrying,MSIC 2008,2.1
Pahang,2015,Mining and quarrying,MSIC 2008,5.4
Pulau Pinang,2015,Mining and quarrying,MSIC 2008,0.9
Perak,2015,Mining and quarrying,MSIC 2008,9.9
Perlis,2015,Mining and quarrying,MSIC 2008,0.4
Selangor,2015,Mining and quarrying,MSIC 2008,31.4
Terengganu,2015,Mining and quarrying,MSIC 2008,8.5
Sabah,2015,Mining and quarrying,MSIC 2008,6.4
Sarawak,2015,Mining and quarrying,MSIC 2008,21.7
W.P. Kuala Lumpur,2015,Mining and quarrying,MSIC 2008,1.7
W.P Labuan,2015,Mining and quarrying,MSIC 2008,3.8
W.P.Putrajaya,2015,Mining and quarrying,MSIC 2008,
Malaysia,2015,Manufacturing,MSIC 2008,"2,322.7"
Johor,2015,Manufacturing,MSIC 2008,400.1
Kedah,2015,Manufacturing,MSIC 2008,187.1
Kelantan,2015,Manufacturing,MSIC 2008,68.0
Melaka,2015,Manufacturing,MSIC 2008,94.4
Negeri Sembilan,2015,Manufacturing,MSIC 2008,75.2
Pahang,2015,Manufacturing,MSIC 2008,73.3
Pulau Pinang,2015,Manufacturing,MSIC 2008,283.7
Perak,2015,Manufacturing,MSIC 2008,176.1
Perlis,2015,Manufacturing,MSIC 2008,10.3
Selangor,2015,Manufacturing,MSIC 2008,568.5
Terengganu,2015,Manufacturing,MSIC 2008,50.4
Sabah,2015,Manufacturing,MSIC 2008,146.9
Sarawak,2015,Manufacturing,MSIC 2008,132.2
W.P. Kuala Lumpur,2015,Manufacturing,MSIC 2008,51.7
W.P Labuan,2015,Manufacturing,MSIC 2008,3.9
W.P.Putrajaya,2015,Manufacturing,MSIC 2008,1.0
Malaysia,2015,"Electricity, gas, steam and air conditioning supply",MSIC 2008,61.7
Johor,2015,"Electricity, gas, steam and air conditioning supply",MSIC 2008,6.1
Kedah,2015,"Electricity, gas, steam and air conditioning supply",MSIC 2008,3.2
